Pos_x,Dir_x,Team_x,P,W_x,D_x,L_x,GF_x,GA_x,DIFF_x,Points_x,Season,TEAM_x,HOMECODE,AWAYCODE_x,TC_x,AWAYCODE_y,TIMEr_x,HTR_x,FTR_x,HT_home_goals_x,HT_away_goals_x,FT_home_goals_x,FT_away_goals_x,Sum_Goals_x,HT_Results_1_0_2_x,FT_Results_1_0_2_x,Under_Over_1.5_x,Under_Over_2.5_x,Under_Over_3.5_x,Pos_y,Dir_y,Team_y,W_y,D_y,L_y,GF_y,GA_y,DIFF_y,Points_y,TEAM_y,HOMECODE_x,AWAYCODE,TC_y,HOMECODE_y,TIMEr_y,HTR_y,FTR_y,HT_home_goals_y,HT_away_goals_y,FT_home_goals_y,FT_away_goals_y,Sum_Goals_y,HT_Results_1_0_2_y,FT_Results_1_0_2_y,Under_Over_1.5_y,Under_Over_2.5_y,Under_Over_3.5_y
2,-1,VFL Oslo,16,10,2,4,29,12,17,32,Season 58801,OSLO,6,6,OSLO ANKARA,14,07:48,1:0,4:0,1,  0,4,  0,4.0,1,1,1,1,1,14,1,VFL Ankara,4,4,8,18,26,-8,16,ANKARA,14,14,OSLO ANKARA,6,07:48,1:0,4:0,1,  0,4,  0,4.0,1,1,1,1,1
6,1,VFL Rome,16,8,3,5,29,22,7,27,Season 58801,ROME,5,5,ROME MADRID,1,07:48,0:2,0:2,0,  2,0,  2,2.0,2,2,1,0,0,4,-1,VFL Madrid,8,3,5,26,10,16,27,MADRID,1,1,ROME MADRID,5,07:48,0:2,0:2,0,  2,0,  2,2.0,2,2,1,0,0
7,0,VFL Berlin,16,7,2,7,16,17,-1,23,Season 58801,BERLIN,3,3,BERLIN BERN,16,07:48,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0,16,0,VFL Bern,2,2,12,11,33,-22,8,BERN,16,16,BERLIN BERN,3,07:48,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0
8,-1,VFL Athens,16,6,3,7,24,26,-2,21,Season 58801,ATHENS,10,10,ATHENS VIENNA,13,07:48,2:0,3:0,2,  0,3,  0,3.0,1,1,1,1,0,11,1,VFL Vienna,5,4,7,13,22,-9,19,VIENNA,13,13,ATHENS VIENNA,10,07:48,2:0,3:0,2,  0,3,  0,3.0,1,1,1,1,0
10,1,VFL Brussels,16,5,5,6,12,19,-7,20,Season 58801,BRUSSELS,9,9,BRUSSELS COPENHAGEN,12,07:48,0:3,1:3,0,  3,1,  3,4.0,2,2,1,1,1,9,-1,VFL Copenhagen,6,3,7,12,22,-10,21,COPENHAGEN,12,12,BRUSSELS COPENHAGEN,9,07:48,0:3,1:3,0,  3,1,  3,4.0,2,2,1,1,1
12,0,VFL Stockholm,16,5,3,8,19,25,-6,18,Season 58801,STOCKHOLM,11,11,STOCKHOLM EDINBURGH,15,07:48,0:0,1:1,0,  0,1,  1,2.0,0,0,1,0,0,13,-1,VFL Edinburgh,4,5,7,14,20,-6,17,EDINBURGH,15,15,STOCKHOLM EDINBURGH,11,07:48,0:0,1:1,0,  0,1,  1,2.0,0,0,1,0,0
15,0,VFL Paris,16,4,3,9,15,31,-16,15,Season 58801,PARIS,8,8,PARIS AMSTERDAM,2,07:48,4:1,5:1,4,  1,5,  1,6.0,1,1,1,1,1,3,1,VFL Amsterdam,9,2,5,38,19,19,29,AMSTERDAM,2,2,PARIS AMSTERDAM,8,07:48,4:1,5:1,4,  1,5,  1,6.0,1,1,1,1,1
3,-1,VFL Madrid,17,9,3,5,31,10,21,30,Season 58801,MADRID,1,1,MADRID PARIS,8,07:52,2:0,5:0,2,  0,5,  0,5.0,1,1,1,1,1,15,0,VFL Paris,4,3,10,15,36,-21,15,PARIS,8,8,MADRID PARIS,1,07:52,2:0,5:0,2,  0,5,  0,5.0,1,1,1,1,1
4,1,VFL Amsterdam,17,9,3,5,39,20,19,30,Season 58801,AMSTERDAM,2,2,AMSTERDAM LONDON,4,07:52,1:1,1:1,1,  1,1,  1,2.0,0,0,1,0,0,1,0,VFL London,12,4,1,33,14,19,40,LONDON,4,4,AMSTERDAM LONDON,2,07:52,1:1,1:1,1,  1,1,  1,2.0,0,0,1,0,0
6,1,VFL Lisbon,17,8,4,5,23,14,9,28,Season 58801,LISBON,7,7,LISBON OSLO,6,07:52,1:0,1:1,1,  0,1,  1,2.0,1,0,1,0,0,2,0,VFL Oslo,10,3,4,30,13,17,33,OSLO,6,6,LISBON OSLO,7,07:52,1:0,1:1,1,  0,1,  1,2.0,1,0,1,0,0
8,-1,VFL Copenhagen,17,7,3,7,13,22,-9,24,Season 58801,COPENHAGEN,12,12,COPENHAGEN ATHENS,10,07:52,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0,9,1,VFL Athens,6,3,8,24,27,-3,21,ATHENS,10,10,COPENHAGEN ATHENS,12,07:52,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0
11,0,VFL Vienna,17,5,5,7,13,22,-9,20,Season 58801,VIENNA,13,13,VIENNA BERLIN,3,07:52,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,7,0,VFL Berlin,7,3,7,16,17,-1,24,BERLIN,3,3,VIENNA BERLIN,13,07:52,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
13,0,VFL Edinburgh,17,4,6,7,15,21,-6,18,Season 58801,EDINBURGH,15,15,EDINBURGH BRUSSELS,9,07:52,1:0,1:1,1,  0,1,  1,2.0,1,0,1,0,0,10,0,VFL Brussels,5,6,6,13,20,-7,21,BRUSSELS,9,9,EDINBURGH BRUSSELS,15,07:52,1:0,1:1,1,  0,1,  1,2.0,1,0,1,0,0
14,0,VFL Ankara,17,4,5,8,20,28,-8,17,Season 58801,ANKARA,14,14,ANKARA STOCKHOLM,11,07:52,1:1,2:2,1,  1,2,  2,4.0,0,0,1,1,1,12,0,VFL Stockholm,5,4,8,21,27,-6,19,STOCKHOLM,11,11,ANKARA STOCKHOLM,14,07:52,1:1,2:2,1,  1,2,  2,4.0,0,0,1,1,1
16,0,VFL Bern,17,2,2,13,12,35,-23,8,Season 58801,BERN,16,16,BERN ROME,5,07:52,0:1,1:2,0,  1,1,  2,3.0,2,2,1,1,0,5,-1,VFL Rome,9,3,5,31,23,8,30,ROME,5,5,BERN ROME,16,07:52,0:1,1:2,0,  1,1,  2,3.0,2,2,1,1,0
1,0,VFL London,18,13,4,1,35,15,20,43,Season 58801,LONDON,4,4,LONDON MADRID,1,07:57,0:1,2:1,0,  1,2,  1,3.0,2,1,1,1,0,4,1,VFL Madrid,9,3,6,32,12,20,30,MADRID,1,1,LONDON MADRID,4,07:57,0:1,2:1,0,  1,2,  1,3.0,2,1,1,1,0
2,0,VFL Oslo,18,11,3,4,33,13,20,36,Season 58801,OSLO,6,6,OSLO STOCKHOLM,11,07:57,1:0,3:0,1,  0,3,  0,3.0,1,1,1,1,0,13,1,VFL Stockholm,5,4,9,21,30,-9,19,STOCKHOLM,11,11,OSLO STOCKHOLM,6,07:57,1:0,3:0,1,  0,3,  0,3.0,1,1,1,1,0
5,0,VFL Rome,18,9,3,6,31,26,5,30,Season 58801,ROME,5,5,ROME VIENNA,13,07:57,0:1,0:3,0,  1,0,  3,3.0,2,2,1,1,0,10,-1,VFL Vienna,6,5,7,16,22,-6,23,VIENNA,13,13,ROME VIENNA,5,07:57,0:1,0:3,0,  1,0,  3,3.0,2,2,1,1,0
6,0,VFL Lisbon,18,8,5,5,25,16,9,29,Season 58801,LISBON,7,7,LISBON AMSTERDAM,2,07:57,0:1,2:2,0,  1,2,  2,4.0,2,0,1,1,1,3,-1,VFL Amsterdam,9,4,5,41,22,19,31,AMSTERDAM,2,2,LISBON AMSTERDAM,7,07:57,0:1,2:2,0,  1,2,  2,4.0,2,0,1,1,1
7,0,VFL Berlin,18,8,3,7,17,17,0,27,Season 58801,BERLIN,3,3,BERLIN COPENHAGEN,12,07:57,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0,9,1,VFL Copenhagen,7,3,8,13,23,-10,24,COPENHAGEN,12,12,BERLIN COPENHAGEN,3,07:57,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0
8,-1,VFL Athens,18,7,3,8,26,28,-2,24,Season 58801,ATHENS,10,10,ATHENS EDINBURGH,15,07:57,1:0,2:1,1,  0,2,  1,3.0,1,1,1,1,0,14,1,VFL Edinburgh,4,6,8,16,23,-7,18,EDINBURGH,15,15,ATHENS EDINBURGH,10,07:57,1:0,2:1,1,  0,2,  1,3.0,1,1,1,1,0
11,1,VFL Brussels,18,5,6,7,13,21,-8,21,Season 58801,BRUSSELS,9,9,BRUSSELS ANKARA,14,07:57,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0,12,-1,VFL Ankara,5,5,8,21,28,-7,20,ANKARA,14,14,BRUSSELS ANKARA,9,07:57,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0
15,0,VFL Paris,18,4,4,10,15,36,-21,16,Season 58801,PARIS,8,8,PARIS BERN,16,07:57,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,16,0,VFL Bern,2,3,13,12,35,-23,9,BERN,16,16,PARIS BERN,8,07:57,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
3,0,VFL Amsterdam,19,10,4,5,44,24,20,34,Season 58801,AMSTERDAM,2,2,AMSTERDAM OSLO,6,08:02,2:0,3:2,2,  0,3,  2,5.0,1,1,1,1,1,2,0,VFL Oslo,11,3,5,35,16,19,36,OSLO,6,6,AMSTERDAM OSLO,2,08:02,2:0,3:2,2,  0,3,  2,5.0,1,1,1,1,1
4,0,VFL Madrid,19,9,4,6,34,14,20,31,Season 58801,MADRID,1,1,MADRID LISBON,7,08:02,1:1,2:2,1,  1,2,  2,4.0,0,0,1,1,1,6,0,VFL Lisbon,8,6,5,27,18,9,30,LISBON,7,7,MADRID LISBON,1,08:02,1:1,2:2,1,  1,2,  2,4.0,0,0,1,1,1
8,-1,VFL Copenhagen,19,7,4,8,13,23,-10,25,Season 58801,COPENHAGEN,12,12,COPENHAGEN ROME,5,08:02,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0,5,0,VFL Rome,9,4,6,31,26,5,31,ROME,5,5,COPENHAGEN ROME,12,08:02,0:0,0:0,0,  0,0,  0,0.0,0,0,0,0,0
10,-1,VFL Ankara,19,6,5,8,22,28,-6,23,Season 58801,ANKARA,14,14,ANKARA ATHENS,10,08:02,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0,9,1,VFL Athens,7,3,9,26,29,-3,24,ATHENS,10,10,ANKARA ATHENS,14,08:02,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0
11,1,VFL Vienna,19,6,5,8,17,24,-7,23,Season 58801,VIENNA,13,13,VIENNA PARIS,8,08:02,1:0,1:2,1,  0,1,  2,3.0,1,2,1,1,0,14,-1,VFL Paris,5,4,10,17,37,-20,19,PARIS,8,8,VIENNA PARIS,13,08:02,1:0,1:2,1,  0,1,  2,3.0,1,2,1,1,0
13,0,VFL Stockholm,19,5,5,9,23,32,-9,20,Season 58801,STOCKHOLM,11,11,STOCKHOLM BRUSSELS,9,08:02,0:2,2:2,0,  2,2,  2,4.0,2,0,1,1,1,12,1,VFL Brussels,5,7,7,15,23,-8,22,BRUSSELS,9,9,STOCKHOLM BRUSSELS,11,08:02,0:2,2:2,0,  2,2,  2,4.0,2,0,1,1,1
15,1,VFL Edinburgh,19,4,6,9,16,25,-9,18,Season 58801,EDINBURGH,15,15,EDINBURGH BERLIN,3,08:02,0:2,0:2,0,  2,0,  2,2.0,2,2,1,0,0,7,0,VFL Berlin,9,3,7,19,17,2,30,BERLIN,3,3,EDINBURGH BERLIN,15,08:02,0:2,0:2,0,  2,0,  2,2.0,2,2,1,0,0
16,0,VFL Bern,19,2,3,14,12,36,-24,9,Season 58801,BERN,16,16,BERN LONDON,4,08:02,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0,1,0,VFL London,14,4,1,36,15,21,46,LONDON,4,4,BERN LONDON,16,08:02,0:0,0:1,0,  0,0,  1,1.0,0,2,0,0,0
1,0,VFL London,20,15,4,1,37,15,22,49,Season 58801,LONDON,4,4,LONDON VIENNA,13,08:06,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0,13,1,VFL Vienna,6,5,9,17,25,-8,23,VIENNA,13,13,LONDON VIENNA,4,08:06,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0
2,0,VFL Oslo,20,11,3,6,36,18,18,36,Season 58801,OSLO,6,6,OSLO BRUSSELS,9,08:06,0:2,1:2,0,  2,1,  2,3.0,2,2,1,1,0,9,-1,VFL Brussels,6,7,7,17,24,-7,25,BRUSSELS,9,9,OSLO BRUSSELS,6,08:06,0:2,1:2,0,  2,1,  2,3.0,2,2,1,1,0
3,0,VFL Amsterdam,20,10,5,5,46,26,20,35,Season 58801,AMSTERDAM,2,2,AMSTERDAM MADRID,1,08:06,2:2,2:2,2,  2,2,  2,4.0,0,0,1,1,1,7,1,VFL Madrid,9,5,6,36,16,20,32,MADRID,1,1,AMSTERDAM MADRID,2,08:06,2:2,2:2,2,  2,2,  2,4.0,0,0,1,1,1
4,-1,VFL Rome,20,10,4,6,32,26,6,34,Season 58801,ROME,5,5,ROME EDINBURGH,15,08:06,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0,15,0,VFL Edinburgh,4,6,10,16,26,-10,18,EDINBURGH,15,15,ROME EDINBURGH,5,08:06,0:0,1:0,0,  0,1,  0,1.0,0,1,0,0,0
5,-1,VFL Lisbon,20,9,6,5,30,18,12,33,Season 58801,LISBON,7,7,LISBON BERN,16,08:06,2:0,3:0,2,  0,3,  0,3.0,1,1,1,1,0,16,0,VFL Bern,2,3,15,12,39,-27,9,BERN,16,16,LISBON BERN,7,08:06,2:0,3:0,2,  0,3,  0,3.0,1,1,1,1,0
6,-1,VFL Berlin,20,10,3,7,21,18,3,33,Season 58801,BERLIN,3,3,BERLIN ANKARA,14,08:06,0:0,2:1,0,  0,2,  1,3.0,0,1,1,1,0,11,1,VFL Ankara,6,5,9,23,30,-7,23,ANKARA,14,14,BERLIN ANKARA,3,08:06,0:0,2:1,0,  0,2,  1,3.0,0,1,1,1,0
10,1,VFL Athens,20,7,3,10,27,31,-4,24,Season 58801,ATHENS,10,10,ATHENS STOCKHOLM,11,08:06,0:1,1:2,0,  1,1,  2,3.0,2,2,1,1,0,12,-1,VFL Stockholm,6,5,9,25,33,-8,23,STOCKHOLM,11,11,ATHENS STOCKHOLM,10,08:06,0:1,1:2,0,  1,1,  2,3.0,2,2,1,1,0
14,0,VFL Paris,20,5,4,11,17,38,-21,19,Season 58801,PARIS,8,8,PARIS COPENHAGEN,12,08:06,0:1,0:1,0,  1,0,  1,1.0,2,2,0,0,0,8,0,VFL Copenhagen,8,4,8,14,23,-9,28,COPENHAGEN,12,12,PARIS COPENHAGEN,8,08:06,0:1,0:1,0,  1,0,  1,1.0,2,2,0,0,0
7,0,VFL Madrid,21,10,5,6,38,16,22,35,Season 58801,MADRID,1,1,MADRID OSLO,6,08:11,1:0,2:0,1,  0,2,  0,2.0,1,1,1,0,0,4,1,VFL Oslo,11,3,7,36,20,16,36,OSLO,6,6,MADRID OSLO,1,08:11,1:0,2:0,1,  0,2,  0,2.0,1,1,1,0,0
